a,b,c,d
27,5,0,466
22,3,0,330
25,3,0,310
45,5,0,540
30,5,0,439
40,7,0,354
56,7,0,669
35,2,0,750
16,6,1,300
15,6,1,242
16,4,1,300
17,4,1,200
16,4,1,430
12,7,1,250
16,6,1,299
16,2,1,270
22,2,1,310
16,2,1,264
19,0,1,340
20,0,1,350
24,3,1,430
17,3,1,365
18,3,1,350
21,2,1,210
12,8,1,320
15,8,1,330
16,8,1,350
25,1,1,280
15,7,2,220
17,7,2,350
12,7,2,269
14,7,2,235
17,8,2,283
11,8,2,220
17,8,2,280
15,8,2,264
13,7,2,225
20,6,2,205
11,0,2,241
20,6,2,205
10,0,2,290
16,0,2,333
15,1,2,330
17,5,2,300
10,1,2,170
13,1,2,260
17,4,2,253
11,4,2,245
21,4,2,300
15,4,2,244
24,1,2,435
10,1,2,250
20,6,2,270
20,2,2,350
11,2,2,250
12,3,3,299
17,7,3,274
11,2,3,350
19,4,3,300
15,3,3,210
15,5,3,600
23,5,3,360
14,4,4,218
15,8,4,197
16,0,4,380
13,1,4,260
20,2,4,350
